NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
1082,1434,167,"(1344425.2500493824, 404813.00000855327)","['EXCELSIOR ST', 'EMERALD ST']"
1083,558,227,"(1339254.9998912215, 404596.0001144707)","['BOGGS AVE', 'LELIA ST']"
1083,670,35,"(1339254.9998912215, 404596.0001144707)","['BOGGS AVE', 'LELIA ST']"
1083,715,146,"(1339254.9998912215, 404596.0001144707)","['BOGGS AVE', 'LELIA ST']"
1084,450,289,"(1345366.500135392, 406357.5002003908)","['S 10TH ST', 'BRADISH ST']"
1084,545,30,"(1345366.500135392, 406357.5002003908)","['S 10TH ST', 'BRADISH ST']"
1084,1363,104,"(1345366.500135392, 406357.5002003908)","['S 10TH ST', 'BRADISH ST']"
1085,1086,152,"(1339526.9524313062, 405926.30158773065)","['SOUTHERN AVE', 'BORDER']"
1085,1392,21,"(1339526.9524313062, 405926.30158773065)","['SOUTHERN AVE', 'BORDER']"
1086,1085,152,"(1339468.5001203865, 405785.25003255904)","['SOUTHERN AVE', 'SANDWICH ST']"
1086,1087,123,"(1339468.5001203865, 405785.25003255904)","['SOUTHERN AVE', 'SANDWICH ST']"
1086,1393,556,"(1339468.5001203865, 405785.25003255904)","['SOUTHERN AVE', 'SANDWICH ST']"
1087,577,126,"(1339358.5000123084, 405841.9999190569)","['SANDWICH ST', 'BORDER']"
1087,1086,123,"(1339358.5000123084, 405841.9999190569)","['SANDWICH ST', 'BORDER']"
1088,591,170,"(1344036.749842137, 404633.7503670603)","['CARNIVAL WAY', 'BORDER']"
1088,1089,428,"(1344036.749842137, 404633.7503670603)","['CARNIVAL WAY', 'BORDER']"
1089,668,93,"(1344442.7765891403, 404734.06283047795)","['EMERALD ST', 'CARNIVAL WAY']"
1089,1082,87,"(1344442.7765891403, 404734.06283047795)","['EMERALD ST', 'CARNIVAL WAY']"
1089,1088,428,"(1344442.7765891403, 404734.06283047795)","['EMERALD ST', 'CARNIVAL WAY']"
1090,821,80,"(1348179.250087306, 404860.249914065)","['ROSCOE ST', 'SAINT LEO ST']"
1090,1091,134,"(1348179.250087306, 404860.249914065)","['ROSCOE ST', 'SAINT LEO ST']"
1091,823,109,"(1348052.750012219, 404905.00048072636)","['ROSCOE ST', 'CROSMAN ST']"
1091,1090,134,"(1348052.750012219, 404905.00048072636)","['ROSCOE ST', 'CROSMAN ST']"
1091,1399,102,"(1348052.750012219, 404905.00048072636)","['ROSCOE ST', 'CROSMAN ST']"
1092,704,80,"(1345772.9999785572, 404367.4999153167)","['MOUNT OLIVER ST', 'SHARON ST']"
1092,942,424,"(1345772.9999785572, 404367.4999153167)","['MOUNT OLIVER ST', 'SHARON ST']"
1092,950,155,"(1345772.9999785572, 404367.4999153167)","['MOUNT OLIVER ST', 'SHARON ST']"
1092,1093,120,"(1345772.9999785572, 404367.4999153167)","['MOUNT OLIVER ST', 'SHARON ST']"
1093,1092,120,"(1345652.9998904765, 404360.9999283105)","['SHARON ST', 'BORDER']"
1094,92,118,"(1342604.7500814646, 404351.250275895)","['CRAIGHEAD ST', 'E WARRINGTON AVE']"
1094,943,68,"(1342604.7500814646, 404351.250275895)","['CRAIGHEAD ST', 'E WARRINGTON AVE']"
1094,947,213,"(1342604.7500814646, 404351.250275895)","['CRAIGHEAD ST', 'E WARRINGTON AVE']"
1095,1096,160,"(1339547.767678395, 407488.07471089065)","['GASKEL ST', 'BORDER']"
1095,1315,31,"(1339547.767678395, 407488.07471089065)","['GASKEL ST', 'BORDER']"
1096,464,139,"(1339672.750039965, 407387.00010989606)","['CUTHBERT ST', 'GASKEL ST']"
1096,1050,113,"(1339672.750039965, 407387.00010989606)","['CUTHBERT ST', 'GASKEL ST']"
1096,1095,160,"(1339672.750039965, 407387.00010989606)","['CUTHBERT ST', 'GASKEL ST']"
1097,343,151,"(1347233.5000103116, 407418.7500463873)","['S 17TH ST', 'FOX WAY', 'MURIEL ST']"
